id,name,geometry,buildstart,opening,closure,city_id
7694,Keisei Tsudanuma,POINT(140.024812197129 35.6837744784723),1921,1921,999999,114
6003,Kossuth Lajos tér,POINT(19.0462376564033 47.5054880717671),0,0,999999,29
7732,Saint-Charles,POINT(5.3801556 43.3024646),1973,1977,999999,74
7695,Keisei Makuhari-Hongo,POINT(140.042146725175 35.6726021159981),1991,1991,999999,114
7726,Chartreux,POINT(5.4014815 43.309129),1973,1977,999999,74
7696,Keisei Makuhari,POINT(140.056077093286 35.6605591225961),1921,1921,999999,114
7719,Malpassé,POINT(5.4165033 43.3209501),1973,1977,999999,74
7697,Kemigawa,POINT(140.066304589107 35.6526280375642),1921,1921,999999,114
1,Caseros,POINT(-58.3989075634122 -34.6358418393779),2001,2007,,1
7698,Keisei Inage,POINT(140.085607402414 35.6378035803563),1921,1921,999999,114
7699,Midoridai,POINT(140.097541917282 35.6249233138886),1923,1923,999999,114
7700,Nishi-Nobuto,POINT(140.102753500154 35.6177331376756),1922,1922,999999,114
7721,Saint-Just,POINT(5.4064408 43.3154374),1973,1977,999999,74
7701,Shin-Chiba,POINT(140.108423308341 35.6124401111584),1923,1923,999999,114
7702,Keisei Chiba,POINT(140.114163525721 35.6116764132584),1967,1967,999999,114
7703,Chiba-Chuo,POINT(140.11790921742 35.6073456342137),1921,1921,999999,114
7722,Chartreux,POINT(5.4014558 43.3091365),1973,1977,999999,74
7704,Chigasaki,POINT(139.407335257754 35.3308420759485),1921,1921,999999,114
7705,Samukawa,POINT(139.387369770554 35.3676319433543),1921,1921,999999,114
7748,Louis Armand,POINT(5.4135481 43.2999805),,2010,999999,74
7706,Kurami,POINT(139.378381114923 35.394902404615),1926,1926,999999,114
7740,La Timone,POINT(5.4004203 43.2911325),,1992,999999,74
7707,Atsugi,POINT(139.378590071685 35.4437060502242),1926,1926,999999,114
7709,Kita-Chigasaki,POINT(139.407785749422 35.3391454136385),1940,1940,999999,114
7711,Miyayama,POINT(139.379693098879 35.3818383297145),1931,1931,999999,114
7713,Shake,POINT(139.377196952398 35.4206762965286),1926,1926,999999,114
7736,Castellane,POINT(5.3846563 43.2862329),,1978,999999,74
7714,La Rose,POINT(5.4296877 43.3331465),1973,1977,999999,74
7752,Vieux Port,POINT(5.3743705 43.295575),,1978,999999,74
7744,Estrangin - Préfecture,POINT(5.377934 43.2901522),-1,1978,999999,74
7758,Sainte-Marguerite Dromel,POINT(5.4021969 43.2705828),,1986,999999,74
7728,Joliette,POINT(5.3679329 43.3038754),,1984,999999,74
9191,Fukagawa-nichome,POINT(139.797517024985 35.6776192961994),1908,1908,1972,114
6004,Batthyány tér,POINT(19.0391893254649 47.5064475724399),0,0,999999,29
7708,Hashimoto,POINT(139.344893348162 35.5948275130914),1931,1931,999999,114
7745,La Blancarde,POINT(5.4061939 43.2955624),,2010,999999,74
7710,Kagawa,POINT(139.399980239621 35.3561511971056),1921,1921,999999,114
7733,Saint-Charles,POINT(5.3801787 43.3024815),-2,1984,999999,74
7712,Kadosawabashi,POINT(139.380438573639 35.4064475260865),1931,1931,999999,114
10666,Grand'Place,POINT(5.7321696 45.1590543),1984,1987,999999,286
7715,Frais Vallon,POINT(5.4231789 43.3254875),1973,1977,999999,74
7749,Baille,POINT(5.3919658 43.2881308),0,0,999999,74
7741,Louis Armand,POINT(5.4135707 43.2999653),,2010,999999,74
7727,Cinq Avenues Longchamp,POINT(5.3963231 43.3040802),1973,1977,999999,74
7723,Cinq Avenues Longchamp,POINT(5.3963067 43.3041592),1973,1977,999999,74
7759,Sainte-Marguerite Dromel,POINT(5.4021841 43.270602),,1986,999999,74
7737,Colbert,POINT(5.3742947 43.3002995),1973,1978,999999,74
7753,Colbert,POINT(5.3744314 43.3002742),1973,1978,999999,74
7754,La Fourragère,POINT(5.4241011 43.3038114),,2010,999999,74
7771,National,POINT(5.3730689 43.3151538),,1987,999999,74
7764,Notre-Dame-du-Mont - Cours Julien,POINT(5.383698 43.2924994),,1984,999999,74
7763,Castellane,POINT(5.3845462 43.2849648),,1984,999999,74
7729,Jules Guesde,POINT(5.3740003 43.3019393),,1984,999999,74
7772,Bougainville,POINT(5.3713918 43.3208381),,1987,999999,74
8523,Villon,POINT(4.8633398 45.7384266),0,0,999999,70
8525,Archives Départementales,POINT(4.8617846 45.7542346),0,0,999999,70
6005,Kita-Senzoku,POINT(139.693393311225 35.6062794186688),1928,1928,1963,114
6102,Asakusa,POINT(139.792279361202 35.7129623058178),1997,2005,999999,114
6006,Kita-Senzoku,POINT(139.693410928582 35.6063025415793),1963,1963,1979,114
6007,Kita-Senzoku,POINT(139.693404407463 35.6062892868315),1979,1979,999999,114
6076,Shinagawa,POINT(139.739887463939 35.62842383275),1980,1980,999999,114
6008,Hatanodai,POINT(139.702745521033 35.6048633044026),1927,1927,1963,114
6009,Hatanodai,POINT(139.702754407914 35.6048715620953),1963,1963,1979,114
6010,Hatanodai,POINT(139.702737903731 35.6048560789323),1979,1979,999999,114
6026,Ohashi,POINT(139.6868113689 35.6518036811396),1907,1907,1969,114
6011,Ebaramachi,POINT(139.707579598102 35.6038595195148),1927,1927,1963,114
